size,abundance
1.0931442477392014e-5,54350850647896896
1.3005077829244346e-5,45283804182871640
1.5472070561089707e-5,37728976194419440
1.840703843455957e-5,31434210522660508
2.1898753795981224e-5,26189391007947704
2.6052828624328154e-5,21819432925591336
3.0994908918204076e-5,18178442831232680
3.6874475040713186e-5,15144852024020410
4.386936296914154e-5,12617361310427324
5.219114320118238e-5,10511561812934630
6.209152001049982e-5,8757119117552385
7.386994460636677e-5,7295426844403075
8.788267246839718e-5,6077651383136930
1.0455353880855498e-4,5063102582049796
1.243867780798655e-4,4217876051642510
1.4798227527640321e-4,3513721802647504.5
1.7605371032217433e-4,2927101487446524.5
2.094501443521619e-4,2438402804126263
2.4918170079381795e-4,2031284863998313.8
2.9645011801042855e-4,1692132691097501.2
3.526850976152315e-4,1409602661666734.2
4.1958754786358254e-4,1174243724347505.8
4.991810300820912e-4,978181768889555.75
5.938729642063457e-4,814856616972745.9
7.065274446771981e-4,678802863444194
8.405518691176637e-4,565467258448369.4
0.001,471057156563937.6
0.001189694576552082,392411289094076.8
0.0014153731854774376,326897713547984.7
0.0016838618025597516,272323416387810.75
0.002003281254168549,226861548494856.53
0.0023832928433927757,188990311333195.53
0.0028353905701197757,157442037833698.75
0.0033732487836784096,131160768222415.31
0.004013135783303115,109266904323672.34
0.0047744058763628024,91027761959215.77
0.005680084777367222,75833037810604.08
0.006757566053989817,63174371071009.34
0.008039439685124139,52628316849119.62
0.009564477791909765,43842162155510.41
0.01137880735658788,36522110194903.625
0.013537305399763534,30423437767931.07
0.01610525881522789,25342296488011.906
0.01916033906644423,21108883438259.312
0.022794951472247683,17581752659549.307
0.027119030139300965,14643076998734.855
0.03226336307807881,12194701626161.994
0.038383548075321024,10154857013167.54
0.04566469897403553,8455421225766.911
0.05432704470929349,7039639775968.373
0.06463259045074894,5860226590297.997
0.0768930423277679,4877782417346.212
0.09147923543193516,4059477628538.5454
0.10883235026050425,3377955224068.4497
0.12947725685833847,2810417235067.838
0.15403839027120614,2337863860399.216
0.18325863748646695,1944459797593.3608
0.2180218071239738,1617006493807.74
0.2593793615054757,1344502597028.076
0.3085822196526063,1117777849015.1436
0.367118593141109,929188128759.7035
0.4367589992114077,772361410918.7914
0.5196098126221268,641986116519.0399
0.6181769759997878,533634760273.983
0.7354417956963141,443616987744.5877
0.8749511157096292,368857085885.9541
1.040924597107939,306791875262.9583
1.2383823477789748,255285578883.1844
1.4732967628504805,212558834123.28433
1.7527731684149555,177129489763.8326
2.0852647323892817,147763225705.9778
2.480828142798857,123432362062.066
2.951427786845574,103281499042.41824
3.5112976310952937,86598862811.7056
4.177371748374244,72792417940.58662
4.969796513282726,61369866530.65814
5.912539958419907,51921999198.89265
7.034116722179635,44109751719.476234
8.36845051521142,37655436366.52209
9.955900192091503,32330854709.14607
11.84448046322508,6473841469.935976
14.091314169175984,6508170859.0525255
16.764360043560156,6517505178.29177
19.944468223189965,6518171111.500062
23.727825677344416,6513688079.515254
28.22886552170991,6505662689.080755
33.583728213396306,6501243243.864469
39.954379315876764,6544317482.314346
47.53350838160323,6878257346.502828
56.55035712608635,8515319170.011289
67.27765317498825,11664111469.745405
80.03985910543538,13228536538.349066
95.22298628572935,12145979639.783201
113.28627034722537,9962388957.404444
134.77606142990712,7505652980.20279
160.34234933221057,5062440522.064662
190.75842339215043,2779084780.659799
226.94426174126696,718461592.1769199
269.99435737320175,305095620.410609
321.2108226665624,275799092.24625957
382.14277365624224,312079094.8342674
454.63318528740075,336821040.3675752
540.874634857019,333283695.97179955
643.4756196839826,324162334.70038885
765.539454881525,318150542.93973756
910.7581376091865,313487273.8760216
1083.5240168643252,306512801.6388078
1289.0626464274128,262336455.91753897
1533.5908392905656,225344954.22234485
1824.5047041539433,194824656.1754813
2170.603351425705,152735396.058293
2582.355035036937,127392527.19143653
3072.213779915402,120877049.83045179
3654.9960719739292,102884523.0290668
4348.3290041465425,86442367.61386867
5173.183433297262,69417106.4051827
6154.5082741028255,52842698.35611389
7321.985115045053,34294871.355555706
8710.925980964163,19370229.73903625
10363.3413962997,9977556.610141508
12329.211054135421,5207449.526689188
14667.995524270904,2345299.7548701926
17450.434724115286,843142.1648786885
20760.687549756065,417601.7319422513
24698.877383437146,231429.1857989949
29384.12047000002,81026.40044967932
